x,y,temperature,percent_im,geometry,distance,lon,lat,miles
-122.14612152542374,37.395910282485865,54.928190736663964,0.83,"c(-122.146121525424, 37.3959102824859)",4331.4995083341955,-122.125982,37.4314785,2.69204444271858
-122.1442820621469,37.395910282485865,55.51503524702639,0.91,"c(-122.144282062147, 37.3959102824859)",4267.0533433028595,-122.125982,37.4314785,2.6519908908035172
-122.14244259887006,37.395910282485865,55.62794043331451,0.83,"c(-122.14244259887, 37.3959102824859)",4207.92535044968,-122.125982,37.4314785,2.6152426043814048
-122.14060313559322,37.395910282485865,55.5744090777589,0.1,"c(-122.140603135593, 37.3959102824859)",4154.342613699197,-122.125982,37.4314785,2.5819407170287114
-122.1498004519774,37.39745223163841,54.89314272550473,0.01,"c(-122.149800451977, 37.3974522316384)",4325.200652102173,-122.125982,37.4314785,2.688129678124408
-122.14796098870056,37.39745223163841,55.29684373049895,0.01,"c(-122.147960988701, 37.3974522316384)",4248.194899163981,-122.125982,37.4314785,2.6402702915873095
-122.14612152542374,37.39745223163841,55.883688240861375,0.83,"c(-122.146121525424, 37.3974522316384)",4176.1218026883835,-122.125982,37.4314785,2.5954765709685415
-122.1442820621469,37.39745223163841,56.56746904773172,0.83,"c(-122.144282062147, 37.3974522316384)",4109.240916517509,-122.125982,37.4314785,2.553909830029527
-122.14244259887006,37.39745223163841,56.467120062843605,0.83,"c(-122.14244259887, 37.3974522316384)",4047.8096174089605,-122.125982,37.4314785,2.5157300294648604
-122.14060313559322,37.39745223163841,56.43474704475375,0.83,"c(-122.140603135593, 37.3974522316384)",3992.079492883953,-122.125982,37.4314785,2.4810935319353344
-122.13876367231639,37.39745223163841,56.240544929554744,0.83,"c(-122.138763672316, 37.3974522316384)",3942.2923339451886,-122.125982,37.4314785,2.4501506115259097
-122.13692420903955,37.39745223163841,55.88837468696147,0.47,"c(-122.13692420904, 37.3974522316384)",3898.6758271612034,-122.125982,37.4314785,2.4230427763587343
-122.15163991525424,37.39899418079095,55.08084879470971,0.01,"c(-122.151639915254, 37.398994180791)",4261.130521094502,-122.125982,37.4314785,2.648309832874147
-122.1498004519774,37.39899418079095,55.66549672432666,0.01,"c(-122.149800451977, 37.398994180791)",4176.603041346344,-122.125982,37.4314785,2.5957756627385606
-122.14796098870056,37.39899418079095,56.25234123469636,0.01,"c(-122.147960988701, 37.398994180791)",4096.806770447248,-122.125982,37.4314785,2.5461819580156915
-122.14612152542374,37.39899418079095,56.839185745058785,0.83,"c(-122.146121525424, 37.398994180791)",4022.023317469167,-122.125982,37.4314785,2.4997037398813964
-122.1442820621469,37.39899418079095,57.682447469102044,0.83,"c(-122.144282062147, 37.398994180791)",3952.5372257372,-122.125982,37.4314785,2.4565178531617153
-122.14244259887006,37.39899418079095,57.65251444137539,0.83,"c(-122.14244259887, 37.398994180791)",3888.6324817765235,-122.125982,37.4314785,2.4168007966292873
-122.14060313559322,37.39899418079095,56.86612090129347,0.83,"c(-122.140603135593, 37.398994180791)",3830.5884324643935,-122.125982,37.4314785,2.3807261854968265
-122.13876367231639,37.39899418079095,56.69544551918443,0.83,"c(-122.138763672316, 37.398994180791)",3778.6751650286387,-122.125982,37.4314785,2.348461880067519
-122.13692420903955,37.39899418079095,56.15708929257198,0.83,"c(-122.13692420904, 37.398994180791)",3733.1484527277626,-122.125982,37.4314785,2.3201668444547936
-122.13508474576273,37.39899418079095,56.686673617085034,0.8,"c(-122.135084745763, 37.398994180791)",3694.244420847526,-122.125982,37.4314785,2.295987831477642
-122.13324528248589,37.39899418079095,56.356276073420304,0.47,"c(-122.133245282486, 37.398994180791)",3662.1741377892627,-122.125982,37.4314785,2.2760560210001635
-122.15163991525424,37.4005361299435,56.03414971816164,0.01,"c(-122.151639915254, 37.4005361299435)",4117.334570585069,-122.125982,37.4314785,2.558940068729067
-122.1498004519774,37.4005361299435,56.62099422852407,0.01,"c(-122.149800451977, 37.4005361299435)",4029.7938197287053,-122.125982,37.4314785,2.50453313842679
-122.14796098870056,37.4005361299435,57.20783873889377,0.01,"c(-122.147960988701, 37.4005361299435)",3947.0323672753416,-122.125982,37.4314785,2.4530965613892737
-122.14612152542374,37.4005361299435,57.794683249256195,0.83,"c(-122.146121525424, 37.4005361299435)",3869.3568978270896,-122.125982,37.4314785,2.4048209433356678
-122.1442820621469,37.4005361299435,58.11570002130611,0.83,"c(-122.144282062147, 37.4005361299435)",3797.0795505342726,-122.125982,37.4314785,2.3599002800088704
-122.14244259887006,37.4005361299435,57.80449741830671,0.83,"c(-122.14244259887, 37.4005361299435)",3730.514098553312,-122.125982,37.4314785,2.318529582693171
-122.14060313559322,37.4005361299435,56.974311951758864,0.83,"c(-122.140603135593, 37.4005361299435)",3669.97135986231,-122.125982,37.4314785,2.2809020260175945
-122.13876367231639,37.4005361299435,56.295599586563185,0.8,"c(-122.138763672316, 37.4005361299435)",3615.753882852938,-122.125982,37.4314785,2.2472056450297937
-122.13692420903955,37.4005361299435,56.171214881613196,0.91,"c(-122.13692420904, 37.4005361299435)",3568.150013261146,-122.125982,37.4314785,2.2176196477695127
-122.13508474576273,37.4005361299435,56.58061108359834,0.2,"c(-122.135084745763, 37.4005361299435)",3527.4275201117903,-122.125982,37.4314785,2.192310453767427
-122.13324528248589,37.4005361299435,57.02938016476401,0.67,"c(-122.133245282486, 37.4005361299435)",3493.8270304896573,-122.125982,37.4314785,2.1714276137288113
-122.13140581920905,37.4005361299435,56.80093394457981,0.47,"c(-122.131405819209, 37.4005361299435)",3467.5555864696726,-122.125982,37.4314785,2.155099805139635
-122.12956635593221,37.4005361299435,56.82417745987914,0.02,"c(-122.129566355932, 37.4005361299435)",3448.7806814210253,-122.125982,37.4314785,2.143431125805485
-122.15163991525424,37.402078079096036,56.989647222355416,0.01,"c(-122.151639915254, 37.402078079096)",3975.7046721996944,-122.125982,37.4314785,2.470916514729456
-122.1498004519774,37.402078079096036,57.57649173271784,0.01,"c(-122.149800451977, 37.402078079096)",3884.9757425890202,-122.125982,37.4314785,2.414528118451846
-122.14796098870056,37.402078079096036,58.16333624308754,0.83,"c(-122.147960988701, 37.402078079096)",3799.0625592380966,-122.125982,37.4314785,2.3611327279292085
-122.14612152542374,37.402078079096036,58.37584997738213,0.83,"c(-122.146121525424, 37.402078079096)",3718.2989479484113,-122.125982,37.4314785,2.3109378172457498
-122.1442820621469,37.402078079096036,57.88355144840898,0.83,"c(-122.144282062147, 37.402078079096)",3643.0274131085935,-122.125982,37.4314785,2.2641562542626437
-122.14244259887006,37.402078079096036,57.0458420030991,0.83,"c(-122.14244259887, 37.402078079096)",3573.5950145821066,-122.125982,37.4314785,2.221003738087077
-122.14060313559322,37.402078079096036,56.434109880558026,0.8,"c(-122.140603135593, 37.402078079096)",3510.3482524209253,-122.125982,37.4314785,2.1816956199011344
-122.13876367231639,37.402078079096036,56.30972517560622,0.83,"c(-122.138763672316, 37.402078079096)",3453.62697868659,-122.125982,37.4314785,2.14644311913399
-122.13692420903955,37.402078079096036,56.18534047065623,0.91,"c(-122.13692420904, 37.402078079096)",3403.757437347942,-122.125982,37.4314785,2.115448997730231
-122.13508474576273,37.402078079096036,56.470447914267424,0,"c(-122.135084745763, 37.402078079096)",3361.044630258521,-122.125982,37.4314785,2.088902815573972
-122.13324528248589,37.402078079096036,57.00467140904948,0.67,"c(-122.133245282486, 37.402078079096)",3325.764310781087,-122.125982,37.4314785,2.0669759544941497
-122.13140581920905,37.402078079096036,56.79369970477819,0.47,"c(-122.131405819209, 37.402078079096)",3298.1550032148384,-122.125982,37.4314785,2.049816658306301
-122.12956635593221,37.402078079096036,56.975194226901294,0.47,"c(-122.129566355932, 37.402078079096)",3278.4105187970076,-122.125982,37.4314785,2.0375453814773197
-122.12772689265537,37.402078079096036,57.08053543699134,0.47,"c(-122.127726892655, 37.402078079096)",3266.6734707481105,-122.125982,37.4314785,2.030250758699882
-122.12588742937854,37.402078079096036,57.29207884633797,0.67,"c(-122.125887429379, 37.402078079096)",3263.0302679345064,-122.125982,37.4314785,2.0279864934335032
-122.15163991525424,37.40362002824858,57.945144726556464,0.01,"c(-122.151639915254, 37.4036200282486)",3836.480729393104,-122.125982,37.4314785,2.384388271841581
-122.1498004519774,37.40362002824858,58.241793086463986,0.01,"c(-122.149800451977, 37.4036200282486)",3742.3799758779605,-122.125982,37.4314785,2.3259042733859294
-122.14796098870056,37.40362002824858,58.20357995732775,0.83,"c(-122.147960988701, 37.4036200282486)",3653.1166450565793,-122.125982,37.4314785,2.2704267526765562
-122.14612152542374,37.40362002824858,57.19490870146001,0.83,"c(-122.146121525424, 37.4036200282486)",3569.0537125214064,-122.125982,37.4314785,2.2181813005105075
-122.1442820621469,37.40362002824858,57.11737205443933,0.8,"c(-122.144282062147, 37.4036200282486)",3490.566920357097,-122.125982,37.4314785,2.1694014421113095
-122.14244259887006,37.40362002824858,56.57262017454923,0.83,"c(-122.14244259887, 37.4036200282486)",3418.040416743536,-122.125982,37.4314785,2.1243259271246338
-122.14060313559322,37.40362002824858,56.44823546959924,0.83,"c(-122.140603135593, 37.4036200282486)",3351.8611245188363,-122.125982,37.4314785,2.0831952296574494
-122.13876367231639,37.40362002824858,56.32385076464743,0.83,"c(-122.138763672316, 37.4036200282486)",3292.4118133005622,-122.125982,37.4314785,2.046247242573376
-122.13692420903955,37.40362002824858,56.19946605969744,0.83,"c(-122.13692420904, 37.4036200282486)",3240.0629533315973,-122.125982,37.4314785,2.0137122146249826
-122.13508474576273,37.40362002824858,56.35429046468198,0.67,"c(-122.135084745763, 37.4036200282486)",3195.163560406942,-122.125982,37.4314785,1.9858070605388078
-122.13324528248589,37.40362002824858,56.89532939225319,0.67,"c(-122.133245282486, 37.4036200282486)",3158.031389502452,-122.125982,37.4314785,1.962729266316005
-122.13140581920905,37.40362002824858,56.78646546497657,0.47,"c(-122.131405819209, 37.4036200282486)",3128.9429812043113,-122.125982,37.4314785,1.9446507030480493
-122.12956635593221,37.40362002824858,57.272112133709015,0.47,"c(-122.129566355932, 37.4036200282486)",3108.1241843680514,-122.125982,37.4314785,1.9317117367110326
-122.12772689265537,37.40362002824858,57.90256264224445,0.67,"c(-122.127726892655, 37.4036200282486)",3095.741842373197,-122.125982,37.4314785,1.9240160611393393
-122.12588742937854,37.40362002824858,57.69953442699625,0.47,"c(-122.125887429379, 37.4036200282486)",3091.8973151039677,-122.125982,37.4314785,1.9216266719104833
-122.1240479661017,37.40362002824858,57.567164505926485,0.47,"c(-122.124047966102, 37.4036200282486)",3096.6224023996765,-122.125982,37.4314785,1.9245633327530618
-122.15163991525424,37.40516197740112,58.156622153153876,0.8,"c(-122.151639915254, 37.4051619774011)",3699.9146219654162,-122.1260148,37.4314986,2.2995118843787545
-122.1498004519774,37.40516197740112,57.15010837503587,0.8,"c(-122.149800451977, 37.4051619774011)",3602.2704459155307,-122.125982,37.4314785,2.2388256345031268
-122.14796098870056,37.40516197740112,57.158870781618134,0.83,"c(-122.147960988701, 37.4051619774011)",3509.447140847358,-122.125982,37.4314785,2.181135575417873
-122.14612152542374,37.40516197740112,56.78704146068776,0.83,"c(-122.146121525424, 37.4051619774011)",3421.8583925013977,-122.125982,37.4314785,2.126698814481913
-122.1442820621469,37.40516197740112,56.71113046854407,0.83,"c(-122.144282062147, 37.4051619774011)",3339.9160524649174,-122.125982,37.4314785,2.0757713191205203
