x,y,temperature,percent_im,geometry,distance,lon,lat,miles
-122.14742307692308,37.397089145300676,84.42289669157253,0.01,"c(-122.147423076923, 37.3970891453007)",4262.642323559172,-122.125982,37.4314785,2.649249424213283
-122.14463987179488,37.397089145300676,84.55739499808533,0.83,"c(-122.144639871795, 37.3970891453007)",4158.784716733285,-122.125982,37.4314785,2.5847015020094997
-122.14185666666667,37.397089145300676,84.56879106674023,0.83,"c(-122.141856666667, 37.3970891453007)",4067.2194863125396,-122.125982,37.4314785,2.5277933413999625
-122.13907346153846,37.397089145300676,83.99456196964093,0.83,"c(-122.139073461538, 37.3970891453007)",3988.7932596683745,-122.125982,37.4314785,2.4790511247162055
-122.15020628205129,37.39941329059978,84.76363960420167,0.01,"c(-122.150206282051, 37.3994132905998)",4154.942313693215,-122.125982,37.4314785,2.582313432997647
-122.14742307692308,37.39941329059978,84.67332069104305,0.01,"c(-122.147423076923, 37.3994132905998)",4033.303094181916,-122.125982,37.4314785,2.506714166676144
-122.14463987179488,37.39941329059978,84.80555582419038,0.83,"c(-122.144639871795, 37.3994132905998)",3923.3826739451124,-122.125982,37.4314785,2.438398181445067
-122.14185666666667,37.39941329059978,85.03822554474755,0.83,"c(-122.141856666667, 37.3994132905998)",3826.191174117954,-122.125982,37.4314785,2.377993271670574
-122.13907346153846,37.39941329059978,86.21447943573094,0.83,"c(-122.139073461538, 37.3994132905998)",3742.7203654901937,-122.125982,37.4314785,2.3261158269050304
-122.13629025641026,37.39941329059978,86.28275949620183,0.8,"c(-122.13629025641, 37.3994132905998)",3673.905565857133,-122.125982,37.4314785,2.283347150936689
-122.13350705128205,37.39941329059978,86.89969008913977,0.67,"c(-122.133507051282, 37.3994132905998)",3620.5825524478887,-122.125982,37.4314785,2.2502066826898
-122.15020628205129,37.40173743589889,84.78924638400167,0.01,"c(-122.150206282051, 37.4017374358989)",3936.241896894307,-122.125982,37.4314785,2.446390240456375
-122.14742307692308,37.40173743589889,85.07031282355456,0.83,"c(-122.147423076923, 37.4017374358989)",3807.626459710354,-122.125982,37.4314785,2.3664552266689585
-122.14463987179488,37.40173743589889,86.17952388017875,0.83,"c(-122.144639871795, 37.4017374358989)",3690.994991795769,-122.125982,37.4314785,2.2939682981950087
-122.14185666666667,37.40173743589889,86.47606111617733,0.83,"c(-122.141856666667, 37.4017374358989)",3587.516493336345,-122.125982,37.4314785,2.229655993372495
-122.13907346153846,37.40173743589889,86.44523349390147,0.83,"c(-122.139073461538, 37.4017374358989)",3498.3583205346613,-122.125982,37.4314785,2.174243828797179
-122.13629025641026,37.40173743589889,86.19986251353657,0.91,"c(-122.13629025641, 37.4017374358989)",3424.6391162668037,-122.125982,37.4314785,2.1284270455356147
-122.13350705128205,37.40173743589889,86.6250140999764,0.67,"c(-122.133507051282, 37.4017374358989)",3367.373012282608,-122.125982,37.4314785,2.0928359305671895
-122.13072384615386,37.40173743589889,86.5436784152962,0.47,"c(-122.130723846154, 37.4017374358989)",3327.4096112072666,-122.125982,37.4314785,2.067998515355666
-122.12794064102565,37.40173743589889,85.83412747894909,0.47,"c(-122.127940641026, 37.4017374358989)",3305.3765636606754,-122.125982,37.4314785,2.054304887296877
-122.15020628205129,37.40406158119799,86.13759627663512,0.83,"c(-122.150206282051, 37.404061581198)",3722.569838705259,-122.125982,37.4314785,2.3135921931045735
-122.14742307692308,37.40406158119799,85.91311500042525,0.83,"c(-122.147423076923, 37.404061581198)",3586.303941016097,-122.125982,37.4314785,2.228902387207021
-122.14463987179488,37.40406158119799,86.72497483544339,0.8,"c(-122.144639871795, 37.404061581198)",3462.2287254310822,-122.125982,37.4314785,2.151789139484824
-122.14185666666667,37.40406158119799,86.60770749160292,0.83,"c(-122.141856666667, 37.404061581198)",3351.6983119530323,-122.125982,37.4314785,2.0830940409900762
-122.13907346153846,37.40406158119799,86.36233651123621,0.83,"c(-122.139073461538, 37.404061581198)",3256.092357329047,-122.125982,37.4314785,2.0236745539646033
-122.13629025641026,37.40406158119799,86.11696553087131,0.67,"c(-122.13629025641, 37.404061581198)",3176.758622097583,-122.125982,37.4314785,1.9743683170277087
-122.13350705128205,37.40406158119799,86.35869680229007,0.67,"c(-122.133507051282, 37.404061581198)",3114.9406552330665,-122.125982,37.4314785,1.9359482008906566
-122.13072384615386,37.40406158119799,86.29710315625198,0.47,"c(-122.130723846154, 37.404061581198)",3071.6961548108225,-122.125982,37.4314785,1.9090715691801259
-122.12794064102565,37.40406158119799,86.28244008569163,0.47,"c(-122.127940641026, 37.404061581198)",3047.8158226583387,-122.125982,37.4314785,1.8942298462761582
-122.12515743589744,37.40406158119799,85.8563009112695,0.47,"c(-122.125157435897, 37.404061581198)",3043.7554681463803,-122.125982,37.4314785,1.8917063195440524
-122.15577269230769,37.40638572649709,86.14989209265332,0.8,"c(-122.155772692308, 37.4063857264971)",3835.007263751805,-122.1260148,37.4314986,2.3834725069930425
-122.15298948717948,37.40638572649709,85.98111220883402,0.83,"c(-122.152989487179, 37.4063857264971)",3670.1492710885077,-122.1260148,37.4314986,2.281012598563398
-122.15020628205129,37.40638572649709,85.90570522363942,0.83,"c(-122.150206282051, 37.4063857264971)",3514.841231522751,-122.1260148,37.4314986,2.1844880245635494
-122.14742307692308,37.40638572649709,86.06038330047886,0.83,"c(-122.147423076923, 37.4063857264971)",3370.193482404832,-122.125982,37.4314785,2.09458886414222
-122.14463987179488,37.40638572649709,86.58733679509533,0.83,"c(-122.144639871795, 37.4063857264971)",3237.851589671463,-122.125982,37.4314785,2.012337843176795
-122.14185666666667,37.40638572649709,86.52481050893948,0.83,"c(-122.141856666667, 37.4063857264971)",3119.3845565036672,-122.125982,37.4314785,1.938710103482702
-122.13907346153846,37.40638572649709,86.27943952857277,0.83,"c(-122.139073461538, 37.4063857264971)",3016.427587954991,-122.125982,37.4314785,1.8747219316065824
-122.13629025641026,37.40638572649709,86.03406854820605,0.67,"c(-122.13629025641, 37.4063857264971)",2930.615816402529,-122.125982,37.4314785,1.82138956892637
-122.13350705128205,37.40638572649709,86.15940078121639,0.47,"c(-122.133507051282, 37.4063857264971)",2863.4910549375677,-122.125982,37.4314785,1.7796712585068786
-122.13072384615386,37.40638572649709,86.20747590802966,0.47,"c(-122.130723846154, 37.4063857264971)",2816.389757970143,-122.125982,37.4314785,1.7503976121629228
-122.12794064102565,37.40638572649709,85.74632398835092,0.47,"c(-122.127940641026, 37.4063857264971)",2790.326110843099,-122.125982,37.4314785,1.7341989501821622
-122.12515743589744,37.40638572649709,85.12507132614701,0.47,"c(-122.125157435897, 37.4063857264971)",2785.8906349670183,-122.125982,37.4314785,1.731442284006848
-122.12237423076924,37.40638572649709,84.72746220793488,0.82,"c(-122.122374230769, 37.4063857264971)",2803.185998867981,-122.125982,37.4314785,1.742191422540697
-122.11959102564103,37.40638572649709,84.17939307804409,0.83,"c(-122.119591025641, 37.4063857264971)",2841.8154668325737,-122.125982,37.4314785,1.7661997929350988
-122.11680782051282,37.40638572649709,83.41353399162108,0.47,"c(-122.116807820513, 37.4063857264971)",2900.92689319388,-122.125982,37.4314785,1.8029377832155873
-122.15298948717948,37.4087098717962,85.8982954468529,0.91,"c(-122.152989487179, 37.4087098717962)",3478.286893233065,-122.1260148,37.4314986,2.1617693556451614
-122.15020628205129,37.4087098717962,85.8228884616583,0.91,"c(-122.150206282051, 37.4087098717962)",3314.004737256988,-122.1260148,37.4314986,2.0596673320428764
-122.14742307692308,37.4087098717962,86.63455393006006,0.83,"c(-122.147423076923, 37.4087098717962)",3160.3645151221885,-122.125982,37.4314785,1.9641793133139767
-122.14463987179488,37.4087098717962,86.67525503688375,0.83,"c(-122.144639871795, 37.4087098717962)",3018.8424429473257,-122.125982,37.4314785,1.8762227737397923
-122.14185666666667,37.4087098717962,84.64075961306662,0.83,"c(-122.141856666667, 37.4087098717962)",2891.420076410569,-122.125982,37.4314785,1.7970292581793468
